Match,home_team,away_team,home_score,away_score,tournament,city,country,neutral,FTR,HTW Odds,HTD Odds,HTL Odds,Penalties
63,France,Croatia,4,2,FIFA World Cup,Moscow,Russia,TRUE,Win,116,206,328,N
62,Belgium,England,2,0,FIFA World Cup,St. Petersburg,Russia,TRUE,Win,119,284,224,N
61,Croatia,England,2,1,FIFA World Cup,Moscow,Russia,TRUE,Win,293,200,127,N
60,France,Belgium,1,0,FIFA World Cup,St. Petersburg,Russia,TRUE,Win,161,214,208,N
59,Russia,Croatia,2,2,FIFA World Cup,Sochi,Russia,FALSE,Loss,309,216,114,Y
58,Sweden,England,0,2,FIFA World Cup,Samara,Russia,TRUE,Loss,424,239,-118,N
57,Brazil,Belgium,1,2,FIFA World Cup,Kazan,Russia,TRUE,Loss,112,245,276,N
56,Uruguay,France,0,2,FIFA World Cup,Nizhny Novgorod,Russia,TRUE,Loss,373,211,102,N
55,Colombia,England,1,1,FIFA World Cup,Moscow,Russia,TRUE,Loss,309,212,116,Y
54,Sweden,Switzerland,1,0,FIFA World Cup,St. Petersburg,Russia,TRUE,Win,241,196,152,N
53,Belgium,Japan,3,2,FIFA World Cup,Rostov-on-Don,Russia,TRUE,Win,-238,370,783,N
52,Brazil,Mexico,2,0,FIFA World Cup,Samara,Russia,TRUE,Win,-204,344,672,N
51,Croatia,Denmark,1,1,FIFA World Cup,Nizhny Novgorod,Russia,TRUE,Win,-103,225,373,Y
50,Russia,Spain,1,1,FIFA World Cup,Moscow,Russia,FALSE,Win,547,311,-169,Y
49,Uruguay,Portugal,2,1,FIFA World Cup,Sochi,Russia,TRUE,Win,206,200,174,N
48,France,Argentina,4,3,FIFA World Cup,Kazan,Russia,TRUE,Win,144,211,236,N
47,England,Belgium,0,1,FIFA World Cup,Kaliningrad,Russia,TRUE,Loss,149,184,266,N
46,Panama,Tunisia,1,2,FIFA World Cup,Saransk,Russia,TRUE,Loss,336,275,-115,N
45,Senegal,Colombia,0,1,FIFA World Cup,Samara,Russia,TRUE,Loss,415,277,-132,N
44,Japan,Poland,0,1,FIFA World Cup,Volgograd,Russia,TRUE,Loss,193,212,173,N
43,Switzerland,Costa Rica,2,2,FIFA World Cup,Nizhny Novgorod,Russia,TRUE,Draw,-167,267,664,N
42,Serbia,Brazil,0,2,FIFA World Cup,Moscow,Russia,TRUE,Loss,659,363,-213,N
41,Mexico,Sweden,0,3,FIFA World Cup,Ekaterinburg,Russia,TRUE,Loss,122,238,257,N
40,South Korea,Germany,2,0,FIFA World Cup,Kazan,Russia,TRUE,Win,1820,723,-588,N
